/home/pjs/anaconda3/lib/python3.9/site-packages/torchvision/transforms/transforms.py:257: UserWarning: Argument interpolation should be of type InterpolationMode instead of int. Please, use InterpolationMode enum.
  warnings.warn(
cuda:0
GeForce GTX 1070
[11/20,4400/8406] loss: 0.008
[11/20,4600/8406] loss: 0.010
[11/20,4800/8406] loss: 0.008
[11/20,5000/8406] loss: 0.010
[11/20,5200/8406] loss: 0.010
[11/20,5400/8406] loss: 0.008
[11/20,5600/8406] loss: 0.010
[11/20,5800/8406] loss: 0.012
[11/20,6000/8406] loss: 0.010
[11/20,6200/8406] loss: 0.009
[11/20,6400/8406] loss: 0.010
[11/20,6600/8406] loss: 0.009
[11/20,6800/8406] loss: 0.009
[11/20,7000/8406] loss: 0.008
[11/20,7200/8406] loss: 0.008
[11/20,7400/8406] loss: 0.011
[11/20,7600/8406] loss: 0.009
[11/20,7800/8406] loss: 0.011
[11/20,8000/8406] loss: 0.007
[11/20,8200/8406] loss: 0.008
[11/20,8400/8406] loss: 0.012
Accuracy: 94 %
[12/20, 200/8406] loss: 0.005
[12/20, 400/8406] loss: 0.005
[12/20, 600/8406] loss: 0.007
[12/20, 800/8406] loss: 0.006
[12/20,1000/8406] loss: 0.005
[12/20,1200/8406] loss: 0.005
[12/20,1400/8406] loss: 0.005
[12/20,1600/8406] loss: 0.007
[12/20,1800/8406] loss: 0.007
[12/20,2000/8406] loss: 0.008
[12/20,2200/8406] loss: 0.006
[12/20,2400/8406] loss: 0.007
[12/20,2600/8406] loss: 0.007
[12/20,2800/8406] loss: 0.007
[12/20,3000/8406] loss: 0.009
[12/20,3200/8406] loss: 0.007
[12/20,3400/8406] loss: 0.007
[12/20,3600/8406] loss: 0.008
[12/20,3800/8406] loss: 0.006
[12/20,4000/8406] loss: 0.006
[12/20,4200/8406] loss: 0.008
[12/20,4400/8406] loss: 0.009
[12/20,4600/8406] loss: 0.009
[12/20,4800/8406] loss: 0.010
[12/20,5000/8406] loss: 0.009
[12/20,5200/8406] loss: 0.008
[12/20,5400/8406] loss: 0.009
[12/20,5600/8406] loss: 0.006
[12/20,5800/8406] loss: 0.007
[12/20,6000/8406] loss: 0.007
[12/20,6200/8406] loss: 0.007
[12/20,6400/8406] loss: 0.009
[12/20,6600/8406] loss: 0.008
[12/20,6800/8406] loss: 0.007
[12/20,7000/8406] loss: 0.008
[12/20,7200/8406] loss: 0.010
[12/20,7400/8406] loss: 0.008
[12/20,7600/8406] loss: 0.008
[12/20,7800/8406] loss: 0.008
[12/20,8000/8406] loss: 0.007
[12/20,8200/8406] loss: 0.009
[12/20,8400/8406] loss: 0.010
Accuracy: 96 %
[13/20, 200/8406] loss: 0.004
[13/20, 400/8406] loss: 0.006
[13/20, 600/8406] loss: 0.004
[13/20, 800/8406] loss: 0.004
[13/20,1000/8406] loss: 0.006
[13/20,1200/8406] loss: 0.006
[13/20,1400/8406] loss: 0.004
[13/20,1600/8406] loss: 0.005
[13/20,1800/8406] loss: 0.006
[13/20,2000/8406] loss: 0.006
[13/20,2200/8406] loss: 0.006
[13/20,2400/8406] loss: 0.005
[13/20,2600/8406] loss: 0.005
[13/20,2800/8406] loss: 0.007
[13/20,3000/8406] loss: 0.007
[13/20,3200/8406] loss: 0.006
[13/20,3400/8406] loss: 0.007
[13/20,3600/8406] loss: 0.007
[13/20,3800/8406] loss: 0.007
